rank,job_id,job_title,url,posted_pt,days_ago,approx_label
1,7636438439764920629,News Partnerships and Operations Project Intern (TikTok-Operations-News) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7636438439764920629,2026-05-06 00:47,-5.91,미래 (5.9일 후) — reference보다 최신
2,7636408469473741109,"Seller Acquisition Project Intern (TikTok Shop - MAI EU), 2026 Start (BS/MS)",https://lifeattiktok.com/search/7636408469473741109,2026-05-05 22:47,-5.82,미래 (5.8일 후) — reference보다 최신
3,7636104027887372549,TikTok Shop Partner Manager Project Intern (TikTok Shop - US Operation) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7636104027887372549,2026-05-05 02:38,-4.98,미래 (5.0일 후) — reference보다 최신
4,7636100822318369029,Global Sports Strategy and Operations Project Intern (TikTok-Operations-Sports Creators and Athletes) - 2026 Start (MBA),https://lifeattiktok.com/search/7636100822318369029,2026-05-05 02:25,-4.98,미래 (5.0일 후) — reference보다 최신
5,7636024964612770101,Product Manager Project Intern (Brand Innovation - Monetization Product) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7636024964612770101,2026-05-04 21:24,-4.77,미래 (4.8일 후) — reference보다 최신
6,7634297575580092677,Program Operations Content Programs Project Intern (TikTok-Operations-Entertainment-Global Programs) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7634297575580092677,2026-04-30 03:00,0.00,0분 전
7,7634027348048709941,Product Manager Project Intern (Ads Interface and Platform) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7634027348048709941,2026-04-29 09:06,0.75,17.9시간 전
8,7633609553186244917,Product Solutions and Operations Project Intern (Content and Service Ads - Search Ads) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7633609553186244917,2026-04-28 05:26,1.90,1.9일 전
9,7633608237116393781,Product Solutions and Operations Project Intern (Content and Service Ads - Search Ads) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7633608237116393781,2026-04-28 05:20,1.90,1.9일 전
10,7633608234343270709,Product Solutions and Operations Project Intern (Content and Service Ads- Search Ads) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7633608234343270709,2026-04-28 05:20,1.90,1.9일 전
11,7633323482907248949,,https://lifeattiktok.com/search/7633323482907248949,2026-04-27 10:29,2.69,2.7일 전
12,7632474163383765301,Product Manager Project Intern (Brand Advertising - Monetization Product) - 2026 Start (BS/MS),https://lifeattiktok.com/search/7632474163383765301,2026-04-25 02:14,5.03,5.0일 전
13,7632085581813827845,,https://lifeattiktok.com/search/7632085581813827845,2026-04-24 00:30,6.10,6.1일 전
14,7631664921580226821,,https://lifeattiktok.com/search/7631664921580226821,2026-04-22 20:38,7.26,7.3일 전
15,7631289371915864373,Entertainment Partnerships and Operations Project Intern,https://lifeattiktok.com/search/7631289371915864373,2026-04-21 19:46,8.30,8.3일 전
